symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NVDA,2023-08-28 04:00:00+00:00,464.82,469.8,448.88,468.35,68539813.0,908702.0,461.344549
NVDA,2023-08-29 04:00:00+00:00,466.66,490.81,463.9101,487.84,70161175.0,887262.0,483.507743
NVDA,2023-08-30 04:00:00+00:00,490.44,499.27,484.25,492.64,73530144.0,922721.0,493.266384
NVDA,2023-08-31 04:00:00+00:00,493.8,497.44,489.58,493.55,52870144.0,649870.0,494.468318
NVDA,2023-09-01 04:00:00+00:00,497.62,498.0,481.416,485.09,46383031.0,690805.0,486.560829
NVDA,2023-09-05 04:00:00+00:00,482.23,488.5081,478.6,485.48,38274041.0,547117.0,484.566091
NVDA,2023-09-06 04:00:00+00:00,484.41,485.49,465.8,470.61,46883773.0,707200.0,471.346391
NVDA,2023-09-07 04:00:00+00:00,455.25,463.44,451.52,462.41,43340006.0,669252.0,458.233428
NVDA,2023-09-08 04:00:00+00:00,459.42,466.06,452.71,455.72,47389996.0,601879.0,457.545756
NVDA,2023-09-11 04:00:00+00:00,461.48,461.63,443.12,451.78,47410209.0,735556.0,449.063942
NVDA,2023-09-12 04:00:00+00:00,447.38,456.73,445.31,448.7,34932946.0,494120.0,451.91851
NVDA,2023-09-13 04:00:00+00:00,446.0,459.3,445.03,454.85,39847257.0,545544.0,454.194493
NVDA,2023-09-14 04:00:00+00:00,459.5,459.8699,451.31,455.81,37016824.0,492668.0,455.666962
NVDA,2023-09-15 04:00:00+00:00,453.41,455.99,438.08,439.0,50683051.0,682553.0,443.350244
NVDA,2023-09-18 04:00:00+00:00,427.48,442.42,420.0,439.66,50033792.0,649500.0,435.865372
NVDA,2023-09-19 04:00:00+00:00,438.33,439.66,430.02,435.2,37313745.0,477478.0,434.451224
NVDA,2023-09-20 04:00:00+00:00,436.0,439.03,422.23,422.39,36728507.0,505573.0,431.628426
NVDA,2023-09-21 04:00:00+00:00,415.83,421.0,409.8,410.17,45099361.0,674385.0,414.534022
NVDA,2023-09-22 04:00:00+00:00,415.72,421.15,412.31,416.1,47923633.0,603484.0,417.199406
NVDA,2023-09-25 04:00:00+00:00,415.91,425.36,411.77,422.22,41924163.0,539896.0,421.011104
NVDA,2023-09-26 04:00:00+00:00,420.01,428.2,416.55,419.11,40236063.0,528421.0,421.517523
NVDA,2023-09-27 04:00:00+00:00,423.3,428.72,416.2901,424.68,44509626.0,539826.0,422.365561
NVDA,2023-09-28 04:00:00+00:00,424.6,434.4631,421.15,430.89,42667294.0,520691.0,429.421498
NVDA,2023-09-29 04:00:00+00:00,438.27,441.44,433.0694,434.99,39786673.0,479628.0,437.09624
NVDA,2023-10-02 04:00:00+00:00,440.3,451.75,438.61,447.82,43350425.0,585515.0,446.65992
NVDA,2023-10-03 04:00:00+00:00,448.08,451.3,432.46,435.17,47100854.0,633004.0,440.005379
NVDA,2023-10-04 04:00:00+00:00,437.42,441.43,432.9201,440.41,36197775.0,469298.0,437.985825
NVDA,2023-10-05 04:00:00+00:00,440.5,449.0,438.88,446.88,39359527.0,514927.0,444.515147
NVDA,2023-10-06 04:00:00+00:00,441.93,457.89,440.26,457.62,43443604.0,566891.0,451.533143
NVDA,2023-10-09 04:00:00+00:00,448.42,456.05,443.68,452.73,40975765.0,549598.0,449.654822
NVDA,2023-10-10 04:00:00+00:00,453.1,462.59,450.88,457.98,36864955.0,512105.0,458.126005
NVDA,2023-10-11 04:00:00+00:00,461.96,468.59,460.5,468.06,37825456.0,515728.0,464.358925
NVDA,2023-10-12 04:00:00+00:00,467.77,476.09,463.3,469.45,48146334.0,655916.0,470.827053
NVDA,2023-10-13 04:00:00+00:00,469.6,471.16,452.8,454.61,47542602.0,718284.0,459.968411
NVDA,2023-10-16 04:00:00+00:00,450.63,462.25,449.12,460.95,37515336.0,507332.0,458.434609
NVDA,2023-10-17 04:00:00+00:00,440.0,447.54,424.8,439.38,81269482.0,1069663.0,438.380385
NVDA,2023-10-18 04:00:00+00:00,425.91,432.19,418.25,421.96,62752342.0,921952.0,423.993255
NVDA,2023-10-19 04:00:00+00:00,428.11,432.97,418.82,421.01,50169285.0,648309.0,425.750509
NVDA,2023-10-20 04:00:00+00:00,418.9,424.7,410.78,413.87,47726607.0,607029.0,416.171629
NVDA,2023-10-23 04:00:00+00:00,412.29,432.4799,409.45,429.75,48104991.0,640376.0,424.702706
NVDA,2023-10-24 04:00:00+00:00,430.77,436.97,426.91,436.63,40160704.0,516000.0,431.807912
NVDA,2023-10-25 04:00:00+00:00,433.98,436.5,415.55,417.79,39892027.0,574747.0,424.221062
NVDA,2023-10-26 04:00:00+00:00,418.53,422.5555,398.8019,403.26,54158206.0,797846.0,406.92497
NVDA,2023-10-27 04:00:00+00:00,411.3,412.06,400.15,405.0,41678442.0,542551.0,405.759732
NVDA,2023-10-30 04:00:00+00:00,410.87,417.66,404.81,411.61,38813054.0,496606.0,410.846425
NVDA,2023-10-31 04:00:00+00:00,404.5,408.79,392.3001,407.8,51813742.0,674321.0,401.691895
NVDA,2023-11-01 04:00:00+00:00,408.84,423.81,408.69,423.25,43780062.0,574693.0,417.611704
NVDA,2023-11-02 04:00:00+00:00,433.28,438.84,428.94,435.06,40932592.0,523434.0,433.756493
NVDA,2023-11-03 04:00:00+00:00,440.2,453.0899,437.23,450.05,42460960.0,575719.0,446.394973
NVDA,2023-11-06 05:00:00+00:00,452.845,459.35,448.99,457.51,40093064.0,519820.0,455.040861
NVDA,2023-11-07 05:00:00+00:00,457.19,462.18,451.575,459.55,34330481.0,462490.0,458.953976
NVDA,2023-11-08 05:00:00+00:00,461.0,468.67,459.68,465.74,34685163.0,470364.0,464.544543
NVDA,2023-11-09 05:00:00+00:00,474.67,482.3,467.5,469.5,54061213.0,707767.0,475.237145
NVDA,2023-11-10 05:00:00+00:00,475.0,484.72,472.8301,483.35,42246819.0,568071.0,479.919185
NVDA,2023-11-13 05:00:00+00:00,483.2,491.16,480.9901,486.2,38430943.0,570845.0,487.295851
NVDA,2023-11-14 05:00:00+00:00,496.8,498.34,490.4001,496.56,41715786.0,605913.0,495.315299
NVDA,2023-11-15 05:00:00+00:00,499.35,499.6,482.0,488.88,47562868.0,700524.0,489.724517
NVDA,2023-11-16 05:00:00+00:00,486.79,495.2469,483.3,494.8,33992417.0,489281.0,489.729473
NVDA,2023-11-17 05:00:00+00:00,495.24,497.17,490.07,492.98,32589691.0,462815.0,493.685258
NVDA,2023-11-20 05:00:00+00:00,493.12,505.48,491.8101,504.09,41639206.0,662462.0,499.515867
NVDA,2023-11-21 05:00:00+00:00,501.26,505.17,492.22,499.44,56745863.0,858569.0,498.400949
NVDA,2023-11-22 05:00:00+00:00,498.52,503.3494,476.9,487.16,90080351.0,1231299.0,487.474841
NVDA,2023-11-24 05:00:00+00:00,484.7001,489.21,477.45,477.76,29464465.0,450796.0,481.608444
NVDA,2023-11-27 05:00:00+00:00,478.0,485.3,476.52,482.42,39576048.0,551939.0,481.908906
NVDA,2023-11-28 05:00:00+00:00,482.36,483.229,474.73,478.21,40157780.0,567709.0,478.137583
NVDA,2023-11-29 05:00:00+00:00,483.79,487.62,478.6,481.4,38207198.0,491845.0,482.631669
NVDA,2023-11-30 05:00:00+00:00,480.24,481.1,464.22,467.7,52636791.0,678031.0,469.353148
NVDA,2023-12-01 05:00:00+00:00,465.25,472.0,461.87,467.65,36931703.0,537779.0,467.531035
NVDA,2023-12-04 05:00:00+00:00,460.77,460.77,450.1,455.1,43768195.0,690329.0,454.218687
NVDA,2023-12-05 05:00:00+00:00,454.66,466.0,452.71,465.66,37193879.0,546821.0,461.592557
NVDA,2023-12-06 05:00:00+00:00,472.145,473.87,454.12,455.03,38077359.0,545495.0,462.445741
NVDA,2023-12-07 05:00:00+00:00,457.0,466.29,456.04,465.96,35096168.0,471206.0,462.647656
NVDA,2023-12-08 05:00:00+00:00,465.95,477.4085,465.5,475.06,35922370.0,516810.0,474.099774
NVDA,2023-12-11 05:00:00+00:00,474.91,475.31,458.3,466.27,50983756.0,700296.0,465.141151
NVDA,2023-12-12 05:00:00+00:00,460.46,476.66,460.46,476.57,37246102.0,509046.0,471.489809
NVDA,2023-12-13 05:00:00+00:00,476.29,485.94,476.08,480.88,44780275.0,575077.0,481.935865
